img_id,text
1000.jpg,94T573
1001.jpg,173T9116
1002.jpg,71T1524
1003.jpg,92T3839
1004.jpg,76T2714
1005.jpg,194T558
1006.jpg,180T228
1007.jpg,138T6070
1008.jpg,104T9416
1009.jpg,25T1398
1010.jpg,127T4029
1011.jpg,75T8421
1012.jpg,177T4449
1013.jpg,70T8648
1014.jpg,149T1332
1015.jpg,95T7304
1016.jpg,143T4790
1017.jpg,182T6149
1018.jpg,88T6386
1019.jpg,158T4820
1020.jpg,93T1578
1021.jpg,105T9699
1022.jpg,151T8095
1023.jpg,109T658
1024.jpg,110T5583
1025.jpg,152T9438
1026.jpg,116T3668
1027.jpg,153T8959
1028.jpg,110T5390
1029.jpg,145T1093
1030.jpg,156T864
1031.jpg,181T9656
1032.jpg,68T3593
1033.jpg,167T5598
1034.jpg,119T2123
1035.jpg,1116T3668
1036.jpg,87T7369
1037.jpg,62T9640
1038.jpg,160T4041
1039.jpg,140T659
1040.jpg,96T3734
1041.jpg,62T6569
1042.jpg,134T4413
1043.jpg,135T5906
1044.jpg,68T2202
1045.jpg,62T9734
1046.jpg,181T3690
1047.jpg,188T8677
1048.jpg,194T735
1049.jpg,108T5333
1050.jpg,138T1769
1051.jpg,91T4293
1052.jpg,159T8894
1053.jpg,90T9848
1054.jpg,122T2171
1055.jpg,76T2714
1056.jpg,167T5257
1057.jpg,135T5906
1058.jpg,140T9240
1059.jpg,167T2142
1060.jpg,84T4097
1061.jpg,98T4859
1062.jpg,119T6926
1063.jpg,101T6950
1064.jpg,127T9295
1065.jpg,65T6646
1066.jpg,171T2151
1067.jpg,177T8953
1068.jpg,144T9065
1069.jpg,126T6144
1070.jpg,177T2854
1071.jpg,79T9778
1072.jpg,125T6088
1073.jpg,94T573
1074.jpg,61T2580
1075.jpg,195T1823
1076.jpg,151T1866
1077.jpg,188T543
1078.jpg,121T6559
1079.jpg,96T5370
1080.jpg,152T3567
1081.jpg,117T6491
1082.jpg,113T2788
1083.jpg,148T2903
1084.jpg,111T7006
1085.jpg,172T6302
1086.jpg,72T5043
1087.jpg,135T5332
1088.jpg,92T85
1089.jpg,170T7842
1090.jpg,131T870
1091.jpg,140T9240
1092.jpg,129T3973
1093.jpg,65T8600
1094.jpg,126T8208
1095.jpg,86T4855
1096.jpg,170T1077
1098.jpg,39T8707
1099.jpg,140T1714
1100.jpg,153T3222
1101.jpg,60T3044
1102.jpg,164T5864
1103.jpg,188T7083
1104.jpg,79T8612
1105.jpg,65T6646
1106.jpg,105T41
1107.jpg,110T6829
1108.jpg,67T504
1109.jpg,94T1365
1110.jpg,181T3690
1111.jpg,64T6581
1112.jpg,137T8159
1113.jpg,100T5333
901.jpg,169T9685
902.jpg,129T3276
903.jpg,111T2799
904.jpg,123T6324
905.jpg,120T8917
906.jpg,175T2720
907.jpg,75T6568
908.jpg,177T4712
909.jpg,80T4167
910.jpg,89T4187
911.jpg,118T9630
912.jpg,160T8806
913.jpg,80T7538
914.jpg,101T6950
915.jpg,131T404
917.jpg,90T7708
918.jpg,47T1187
919.jpg,192T6756
920.jpg,141T6603
921.jpg,159T5567
922.jpg,161T3230
923.jpg,73T1617
924.jpg,79T9778
925.jpg,88T7703
926.jpg,90T1397
927.jpg,169T9044
928.jpg,146T5543
929.jpg,87T8179
930.jpg,37T3819
931.jpg,91T7133
932.jpg,191T2774
933.jpg,90T9848
934.jpg,142T4034
935.jpg,180T228
936.jpg,90T4636
937.jpg,114T4391
938.jpg,135T5906
939.jpg,87T8179
940.jpg,91T4293
941.jpg,84T2486
942.jpg,161T3747
943.jpg,171T2151
944.jpg,170T7645
945.jpg,72T5043
946.jpg,116T1701
947.jpg,123T1747
948.jpg,174T4999
949.jpg,177T4735
950.jpg,140T1714
951.jpg,140T9240
952.jpg,129T3973
953.jpg,80T4161
954.jpg,102T9407
955.jpg,112T5633
956.jpg,137T8459
957.jpg,26T6067
958.jpg,96T5370
959.jpg,160T4041
960.jpg,155T5029
961.jpg,188T1222
962.jpg,133T9933
963.jpg,39T8707
964.jpg,164T9053
965.jpg,117T3989
966.jpg,136T8032
967.jpg,160T5065
968.jpg,74T1653
969.jpg,165T7119
970.jpg,151T8095
971.jpg,121T237
972.jpg,15T9488
973.jpg,112T6988
974.jpg,37T3819
975.jpg,88T7703
976.jpg,110T3517
977.jpg,179T7229
978.jpg,83T1812
979.jpg,145T9128
981.jpg,53T8723
982.jpg,132T820
983.jpg,188T7083
984.jpg,144T2081
985.jpg,87T382
986.jpg,87T8179
987.jpg,135T4716
988.jpg,130T9996
989.jpg,114T239
990.jpg,135T5332
991.jpg,188T543
992.jpg,169T5973
993.jpg,109T4225
994.jpg,125T8583
995.jpg,84T1104
996.jpg,138T8409
997.jpg,165T7878
998.jpg,81T9062
999.jpg,131T1396
